Date,Window,Threshold_q,Threshold_u,Exceedances_k,xi_shape,beta_scale,VaR95,ES95,VaR99,ES99
1994-01-20,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-21,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-24,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-25,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-26,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-27,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-28,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-31,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-02-01,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-02-02,1000,0.95,0.012089487369889742,50,0.03431097573172388,0.005531102330413877,0.012089487369889742,0.01781711002212493,0.021241830031951396,0.02729463584261004
1994-02-03,1000,0.95,0.012089487369889742,50,0.03431097573172388,0.005531102330413877,0.012089487369889742,0.01781711002212493,0.021241830031951396,0.02729463584261004
1994-02-04,1000,0.95,0.012089487369889742,50,0.03431097573172388,0.005531102330413877,0.012089487369889742,0.01781711002212493,0.021241830031951396,0.02729463584261004
1994-02-07,1000,0.95,0.012123485635701998,50,-0.005960255418378069,0.005977065340166882,0.012123485635701998,0.018065137214850147,0.021697209043790855,0.027582136874152945
1994-02-08,1000,0.95,0.012123485635701998,50,-0.005960255418378069,0.005977065340166882,0.012123485635701998,0.018065137214850147,0.021697209043790855,0.027582136874152945
